datetime,ticker,headline,body,source
2020-01-01,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-01,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-01,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-02,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-02,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-02,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-03,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-03,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-03,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-04,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-04,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-04,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-05,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-05,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-05,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-06,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
2020-01-06,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",context
2020-01-06,TCS,"Should investors buy TCS, Infosys ahead of Q4 results or AI risk too big to ignore?","Indian IT stocks are heading into the March quarter earnings season under pressure, with the Nifty IT index down nearly 20% this year. The key question for investors is whether the correction offers a buying opportunity ahead of the results or if structural concerns around demand and artificial intelligence (AI) are still too large to ignore.  Brokerages and analysts remain cautious on the near-term outlook, pointing to weak global demand and limited discretionary spending by clients. Ravi Singh",context
2020-01-07,SBIN,SBI Server UPI Down Today,"Synopsis  SBI UPI down: Downdetector shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India.  UPI users of some banks have reported facing payment-related issues, with many of them taking to X (formerly Twitter) to flag concerns. Downdetector also shows a steep jump in the number of complaints, including over 500 payment issue-related complaints reports for State Bank of India (SBI).  Many UCO Bank UPI users have also r",context
